Record file Pathname: c:\Users\PRODUCTION\Desktop\mesure ballant.txt
Start acquisition date: 03-23-2020 17:46:49
Sirrah working mode: PC7V MM1 EC10 DD384 DG505 DM505
Mode diagnostique: 0
Comment:

;Status B1;Date B1;Energie B1;Pulse B1;Theta B1;Phi B1;Theta' B1;Phi' B1;;Status B2;Date B2;Energie B2;Pulse B2;Theta B2;Phi B2;Theta' B2;Phi' B2;;Status B3;Date B3;Energie B3;Pulse B3;Theta B3;Phi B3;Theta' B3;Phi' B3;
;00;349899669;197;3;0.127;-0.027;0.000;-0.001;8c;349899670;0;0;0.000;0.000;0.000;0.000;8c;349899676;0;0;0.000;0.000;0.000;0.000;
;00;349899869;197;3;0.124;-0.027;-0.003;0.000;8c;349899870;0;0;0.000;0.000;0.000;0.000;8c;349899876;0;0;0.000;0.000;0.000;0.000;
;00;349900069;197;3;0.125;-0.030;-0.004;-0.004;8c;349900070;0;0;0.000;0.000;0.000;0.000;8c;349900076;0;0;0.000;0.000;0.000;0.000;
;00;349900269;197;3;0.128;-0.027;0.003;0.003;8c;349900270;0;0;0.000;0.000;0.000;0.000;8c;349900276;0;0;0.000;0.000;0.000;0.000;
;00;349900469;197;3;0.128;-0.030;0.006;-0.006;8c;349900470;0;0;0.000;0.000;0.000;0.000;8c;349900476;0;0;0.000;0.000;0.000;0.000;
;00;349900669;197;3;0.126;-0.025;0.003;0.003;8c;349900670;0;0;0.000;0.000;0.000;0.000;8c;349900676;0;0;0.000;0.000;0.000;0.000;
;00;349900869;197;3;0.126;-0.029;-0.001;-0.001;8c;349900870;0;0;0.000;0.000;0.000;0.000;8c;349900876;0;0;0.000;0.000;0.000;0.000;
;00;349901069;197;3;0.127;-0.028;0.003;-0.001;8c;349901070;0;0;0.000;0.000;0.000;0.000;8c;349901076;0;0;0.000;0.000;0.000;0.000;
;00;349901269;197;3;0.129;-0.027;0.004;0.001;8c;349901270;0;0;0.000;0.000;0.000;0.000;8c;349901276;0;0;0.000;0.000;0.000;0.000;
;00;349901469;197;3;0.127;-0.025;0.004;-0.001;8c;349901470;0;0;0.000;0.000;0.000;0.000;8c;349901476;0;0;0.000;0.000;0.000;0.000;
;00;349901669;197;3;0.125;-0.025;-0.004;0.007;8c;349901670;0;0;0.000;0.000;0.000;0.000;8c;349901676;0;0;0.000;0.000;0.000;0.000;
;00;349901869;196;3;0.126;-0.025;0.000;0.000;8c;349901870;0;0;0.000;0.000;0.000;0.000;8c;349901876;0;0;0.000;0.000;0.000;0.000;
;00;349902069;196;3;0.128;-0.029;0.004;-0.009;8c;349902070;0;0;0.000;0.000;0.000;0.000;8c;349902076;0;0;0.000;0.000;0.000;0.000;
;00;349902289;197;3;0.124;-0.027;-0.003;0.000;8c;349902290;0;0;0.000;0.000;0.000;0.000;8c;349902296;0;0;0.000;0.000;0.000;0.000;
;00;349902489;196;3;0.125;-0.026;-0.003;0.003;8c;349902490;0;0;0.000;0.000;0.000;0.000;8c;349902496;0;0;0.000;0.000;0.000;0.000;
;00;349902689;196;3;0.126;-0.028;-0.004;0.000;8c;349902690;0;0;0.000;0.000;0.000;0.000;8c;349902696;0;0;0.000;0.000;0.000;0.000;
;00;349902889;197;3;0.124;-0.028;-0.004;0.000;8c;349902890;0;0;0.000;0.000;0.000;0.000;8c;349902896;0;0;0.000;0.000;0.000;0.000;
;00;349903089;197;3;0.126;-0.027;-0.004;0.000;8c;349903090;0;0;0.000;0.000;0.000;0.000;8c;349903096;0;0;0.000;0.000;0.000;0.000;
;00;349903289;197;3;0.126;-0.028;0.000;0.001;8c;349903290;0;0;0.000;0.000;0.000;0.000;8c;349903296;0;0;0.000;0.000;0.000;0.000;
;00;349903489;197;3;0.128;-0.027;0.001;0.003;8c;349903490;0;0;0.000;0.000;0.000;0.000;8c;349903496;0;0;0.000;0.000;0.000;0.000;
;00;349903689;197;3;0.127;-0.028;0.003;-0.004;8c;349903690;0;0;0.000;0.000;0.000;0.000;8c;349903696;0;0;0.000;0.000;0.000;0.000;
;00;349903889;197;3;0.127;-0.028;0.000;0.003;8c;349903890;0;0;0.000;0.000;0.000;0.000;8c;349903896;0;0;0.000;0.000;0.000;0.000;
;00;349904089;197;3;0.121;-0.026;-0.009;0.000;8c;349904090;0;0;0.000;0.000;0.000;0.000;8c;349904096;0;0;0.000;0.000;0.000;0.000;
;00;349904289;197;3;0.119;0.064;-0.009;0.143;8c;349904290;0;0;0.000;0.000;0.000;0.000;8c;349904296;0;0;0.000;0.000;0.000;0.000;
;00;349904489;197;3;0.120;0.243;-0.010;0.425;8c;349904490;0;0;0.000;0.000;0.000;0.000;8c;349904496;0;0;0.000;0.000;0.000;0.000;
;00;349904689;197;3;0.112;0.727;-0.025;1.179;8c;349904690;0;0;0.000;0.000;0.000;0.000;8c;349904696;0;0;0.000;0.000;0.000;0.000;
;00;349904889;197;3;0.098;1.192;-0.037;1.875;8c;349904890;0;0;0.000;0.000;0.000;0.000;8c;349904896;0;0;0.000;0.000;0.000;0.000;
;00;349905089;197;3;0.072;1.640;-0.075;2.275;8c;349905090;0;0;0.000;0.000;0.000;0.000;8c;349905096;0;0;0.000;0.000;0.000;0.000;
;00;349905289;197;3;0.065;1.974;-0.067;2.064;8c;349905290;0;0;0.000;0.000;0.000;0.000;8c;349905296;0;0;0.000;0.000;0.000;0.000;
;00;349905489;197;3;0.071;2.473;-0.048;2.148;8c;349905490;0;0;0.000;0.000;0.000;0.000;8c;349905496;0;0;0.000;0.000;0.000;0.000;
;00;349905689;197;3;0.071;2.874;-0.009;2.046;8c;349905690;0;0;0.000;0.000;0.000;0.000;8c;349905696;0;0;0.000;0.000;0.000;0.000;
;00;349905889;197;3;0.070;3.233;0.010;2.089;8c;349905890;0;0;0.000;0.000;0.000;0.000;8c;349905896;0;0;0.000;0.000;0.000;0.000;
